poi_id,name,lat,lon,tags,open_hours,cost,stay_min,rating,notes
P001,시라호마에하마,24.7327,125.2792,"beach,snorkel,swimming",24시간,0,180,4.8,동양 최고의 해변. 스노클링 추천
P002,이라부대교,24.8012,125.2234,"bridge,drive,scenic",24시간,0,30,4.7,드라이브 필수 코스. 전망대 사진 촬영
P003,도리이케,24.8487,125.1234,"nature,lake,diving",24시간,0,45,4.6,신비로운 지하호수. 다이빙 명소
P004,미야코지마 공설시장,24.8001,125.2811,"market,seafood,local",08:00-18:00,3000,90,4.3,현지 해산물과 기념품. 흥정 가능
P005,잣코 식당,24.8123,125.2456,"restaurant,soba,local",11:00-14:00/17:00-21:00,2000,60,4.5,현지인 추천 오키나와 소바
P006,구라마지마,24.7234,125.2123,"island,drive,peaceful",24시간,0,120,4.4,한적한 섬 드라이브. 사탕수수밭 풍경
P007,히라라항,24.8067,125.2801,"port,shopping,transport",06:00-22:00,0,30,4.1,여객선 터미널. 주변 상점가
P008,우에노 독일문화촌,24.7456,125.3234,"theme_park,german,family",09:00-17:30,1000,120,3.8,독일 테마파크. 맥주 체험 가능
P009,요나하마에하마,24.7201,125.2598,"beach,long_beach,sunset",24시간,0,90,4.7,17km 백사장. 선셋 포인트
P010,시모지시마 공항,24.8267,125.1456,"airport,rental_car",24시간,0,60,4.2,진에어 취항. 렌터카 픽업 가능
P011,힐튼 오키나와 미야코지마 리조트,24.8067,125.2801,"hotel,luxury,spa,pool,premium",24시간,35000,720,4.8,첫날 숙소. 4개 수영장+스파+4개 레스토랑+피트니스
P012,Ronsard Resort IRABU,24.8245,125.1987,"villa,private_pool,luxury,ocean_view",체크인 15:00 체크아웃 11:00,50000,720,4.9,둘째날 독채+프라이빗 수영장. 예약 ID: 1645388963
P013,Apartment Hotel 11 Miyakojima,24.8012,125.2801,"hotel,apartment,convenient",24시간,15000,720,4.4,3-4일차 숙소. 예약번호: 1400820177391778
